pool,map_filename,canonical_map_sha256,episode_seed,opening_outcome,flags,owned_units,capital_occupied,reset_exception
train,map_000853.csv,080d86c21f1558a8f9c971a81c75b6dffa5f9242f1a34a79a6eb5bf773606102,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005214.csv,081b0c942ecc56ee123a4a46a53a1413b87162e38d601c2cec7f174c42ae4755,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002725.csv,08298f4951ffd6b03c975ec36beb4bc95ff062806837d257a9651cb3737d8338,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001028.csv,082e5159c1903978af91c129395763b176d6210c4de364ede1991ead4199d5fd,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004245.csv,082fabd54c3c5aa26452dcbe4103a233f966592eb7e704ccb3a2ef74388f437f,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005356.csv,083c9662e4a926af86d2e106972f3b551325d67fb019dde89e0794a6e8019e25,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_000309.csv,08713e95af23c3feb50e28e4fa02bb13194eb80e59a38ed237ed3801c27912eb,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005007.csv,0880ec737d6253dcbea2cbfb42860472bd7e88a0a155e148f7bfb81f7c03bbb5,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004260.csv,0915afea7aa66d49f386de97bc28df1606c9b0111256139c9570984771e8b921,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005244.csv,0941d6518fd5efbf1e2aa43fe2b84df2b93d3fb361f86488bd311807555f7b6c,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003199.csv,0954fe006b41bb03ac61087e4027c2a9b90fb4cde766d16b0688ac27e92a57a3,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001182.csv,09734fd33ef733f453367e7120d65f4711a057808aa2abf67c750fb198457ff8,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001665.csv,097c3320fe3ebd5b794a01e0518bc85a47dbca24692ac568707fa626e215df57,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005129.csv,09a79571b29d1ec8e12bf090950f8d94e8725e527416ee5d285605e41dbdcb94,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002004.csv,09c14319ceb3e2c15a50778516628887380e0dc7527cce1c3a7bafe1b482330c,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003817.csv,09c928d1eeb0379915c24d77cf8d9b538e5276915cae73c7ff599d5402af535f,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
